/home/lang/SteerNet-v2/.venv/bin/python /home/lang/SteerNet-v2/test.py
num_actions:  5
observation_space:  (4, 240, 64)
Using device: cuda
conv_output_size:  8320
conv_output_size:  8320
Starting training for 5000 episodes...
Observation shape: (4, 240, 64)
Episode 10/5000 | Avg Reward: 40.34 | Avg Length: 50 | Epsilon: 0.980 | Loss: 0.0000 | Buffer: 497 | 1.64s/ep | Elapsed: 16s
Episode 20/5000 | Avg Reward: 18.11 | Avg Length: 13 | Epsilon: 0.961 | Loss: 0.5594 | Buffer: 625 | 1.07s/ep | Elapsed: 27s
Episode 30/5000 | Avg Reward: 21.65 | Avg Length: 16 | Epsilon: 0.942 | Loss: 0.4608 | Buffer: 788 | 1.35s/ep | Elapsed: 41s
Episode 40/5000 | Avg Reward: 27.92 | Avg Length: 26 | Epsilon: 0.923 | Loss: 0.3745 | Buffer: 1051 | 1.92s/ep | Elapsed: 60s
Episode 50/5000 | Avg Reward: 11.64 | Avg Length: 9 | Epsilon: 0.905 | Loss: 0.3425 | Buffer: 1138 | 0.74s/ep | Elapsed: 1.1m
Episode 60/5000 | Avg Reward: 8.26 | Avg Length: 5 | Epsilon: 0.887 | Loss: 0.3246 | Buffer: 1189 | 0.13s/ep | Elapsed: 1.1m
Episode 70/5000 | Avg Reward: 22.73 | Avg Length: 17 | Epsilon: 0.869 | Loss: 0.2811 | Buffer: 1355 | 1.41s/ep | Elapsed: 1.4m
Episode 80/5000 | Avg Reward: 14.15 | Avg Length: 10 | Epsilon: 0.852 | Loss: 0.2271 | Buffer: 1459 | 0.89s/ep | Elapsed: 1.5m
Episode 90/5000 | Avg Reward: 10.96 | Avg Length: 6 | Epsilon: 0.835 | Loss: 0.1983 | Buffer: 1522 | 0.53s/ep | Elapsed: 1.6m
Episode 100/5000 | Avg Reward: 18.51 | Avg Length: 10 | Epsilon: 0.819 | Loss: 0.1785 | Buffer: 1624 | 0.57s/ep | Elapsed: 1.7m
Episode 110/5000 | Avg Reward: 14.85 | Avg Length: 9 | Epsilon: 0.802 | Loss: 0.1679 | Buffer: 1715 | 0.77s/ep | Elapsed: 1.8m
Episode 120/5000 | Avg Reward: 25.91 | Avg Length: 17 | Epsilon: 0.786 | Loss: 0.1433 | Buffer: 1888 | 1.45s/ep | Elapsed: 2.1m
Episode 130/5000 | Avg Reward: 24.34 | Avg Length: 16 | Epsilon: 0.771 | Loss: 0.8960 | Buffer: 2044 | 1.01s/ep | Elapsed: 2.2m
Episode 140/5000 | Avg Reward: 20.77 | Avg Length: 17 | Epsilon: 0.756 | Loss: 0.5848 | Buffer: 2211 | 1.38s/ep | Elapsed: 2.5m
Episode 150/5000 | Avg Reward: 23.09 | Avg Length: 15 | Epsilon: 0.741 | Loss: 0.3773 | Buffer: 2359 | 0.98s/ep | Elapsed: 2.6m
Episode 160/5000 | Avg Reward: 12.21 | Avg Length: 7 | Epsilon: 0.726 | Loss: 0.3338 | Buffer: 2428 | 0.58s/ep | Elapsed: 2.7m
Episode 170/5000 | Avg Reward: 18.80 | Avg Length: 13 | Epsilon: 0.712 | Loss: 0.3518 | Buffer: 2555 | 1.06s/ep | Elapsed: 2.9m
Episode 180/5000 | Avg Reward: 22.59 | Avg Length: 13 | Epsilon: 0.697 | Loss: 0.2799 | Buffer: 2682 | 1.08s/ep | Elapsed: 3.1m
Episode 190/5000 | Avg Reward: 26.22 | Avg Length: 15 | Epsilon: 0.684 | Loss: 0.1831 | Buffer: 2834 | 0.98s/ep | Elapsed: 3.3m
Episode 200/5000 | Avg Reward: 18.93 | Avg Length: 11 | Epsilon: 0.670 | Loss: 0.2348 | Buffer: 2948 | 0.96s/ep | Elapsed: 3.4m
Episode 210/5000 | Avg Reward: 30.88 | Avg Length: 24 | Epsilon: 0.657 | Loss: 0.1649 | Buffer: 3183 | 1.70s/ep | Elapsed: 3.7m
Episode 220/5000 | Avg Reward: 19.99 | Avg Length: 11 | Epsilon: 0.644 | Loss: 0.1568 | Buffer: 3293 | 0.94s/ep | Elapsed: 3.9m
Episode 230/5000 | Avg Reward: 19.77 | Avg Length: 11 | Epsilon: 0.631 | Loss: 0.1594 | Buffer: 3403 | 0.93s/ep | Elapsed: 4.0m
Episode 240/5000 | Avg Reward: 15.23 | Avg Length: 10 | Epsilon: 0.618 | Loss: 0.1470 | Buffer: 3508 | 0.60s/ep | Elapsed: 4.1m
Episode 250/5000 | Avg Reward: 24.80 | Avg Length: 17 | Epsilon: 0.606 | Loss: 0.1436 | Buffer: 3679 | 1.45s/ep | Elapsed: 4.4m
Episode 260/5000 | Avg Reward: 11.58 | Avg Length: 8 | Epsilon: 0.594 | Loss: 0.1505 | Buffer: 3755 | 0.64s/ep | Elapsed: 4.5m
Episode 270/5000 | Avg Reward: 20.64 | Avg Length: 12 | Epsilon: 0.582 | Loss: 0.1379 | Buffer: 3870 | 0.69s/ep | Elapsed: 4.6m
Episode 280/5000 | Avg Reward: 16.66 | Avg Length: 9 | Epsilon: 0.571 | Loss: 0.1605 | Buffer: 3959 | 0.75s/ep | Elapsed: 4.7m
Episode 290/5000 | Avg Reward: 13.17 | Avg Length: 8 | Epsilon: 0.560 | Loss: 0.9788 | Buffer: 4042 | 0.70s/ep | Elapsed: 4.8m
Episode 300/5000 | Avg Reward: 16.35 | Avg Length: 9 | Epsilon: 0.548 | Loss: 0.9002 | Buffer: 4130 | 0.75s/ep | Elapsed: 4.9m
Episode 310/5000 | Avg Reward: 18.33 | Avg Length: 12 | Epsilon: 0.538 | Loss: 0.6368 | Buffer: 4251 | 0.74s/ep | Elapsed: 5.1m
Episode 320/5000 | Avg Reward: 26.00 | Avg Length: 17 | Epsilon: 0.527 | Loss: 0.5023 | Buffer: 4417 | 1.41s/ep | Elapsed: 5.3m
Episode 330/5000 | Avg Reward: 16.57 | Avg Length: 11 | Epsilon: 0.517 | Loss: 0.4842 | Buffer: 4526 | 0.93s/ep | Elapsed: 5.5m
Episode 340/5000 | Avg Reward: 27.90 | Avg Length: 18 | Epsilon: 0.506 | Loss: 0.4598 | Buffer: 4703 | 1.19s/ep | Elapsed: 5.7m
Episode 350/5000 | Avg Reward: 21.79 | Avg Length: 14 | Epsilon: 0.496 | Loss: 0.3591 | Buffer: 4839 | 1.16s/ep | Elapsed: 5.8m
Episode 360/5000 | Avg Reward: 12.28 | Avg Length: 6 | Epsilon: 0.486 | Loss: 0.3823 | Buffer: 4904 | 0.54s/ep | Elapsed: 5.9m
Episode 370/5000 | Avg Reward: 13.67 | Avg Length: 8 | Epsilon: 0.477 | Loss: 0.2936 | Buffer: 4985 | 0.70s/ep | Elapsed: 6.1m
Episode 380/5000 | Avg Reward: 16.96 | Avg Length: 11 | Epsilon: 0.467 | Loss: 0.3596 | Buffer: 5091 | 0.61s/ep | Elapsed: 6.2m
Episode 390/5000 | Avg Reward: 21.43 | Avg Length: 12 | Epsilon: 0.458 | Loss: 0.3685 | Buffer: 5208 | 1.00s/ep | Elapsed: 6.3m
Episode 400/5000 | Avg Reward: 21.72 | Avg Length: 11 | Epsilon: 0.449 | Loss: 0.4029 | Buffer: 5319 | 0.95s/ep | Elapsed: 6.5m
Episode 410/5000 | Avg Reward: 24.85 | Avg Length: 15 | Epsilon: 0.440 | Loss: 0.3119 | Buffer: 5469 | 0.97s/ep | Elapsed: 6.6m
Episode 420/5000 | Avg Reward: 23.61 | Avg Length: 13 | Epsilon: 0.431 | Loss: 0.3090 | Buffer: 5602 | 1.12s/ep | Elapsed: 6.8m
Episode 430/5000 | Avg Reward: 18.62 | Avg Length: 11 | Epsilon: 0.423 | Loss: 0.2994 | Buffer: 5712 | 0.94s/ep | Elapsed: 7.0m
Episode 440/5000 | Avg Reward: 21.75 | Avg Length: 12 | Epsilon: 0.414 | Loss: 0.2875 | Buffer: 5833 | 0.75s/ep | Elapsed: 7.1m
Episode 450/5000 | Avg Reward: 24.06 | Avg Length: 12 | Epsilon: 0.406 | Loss: 0.2795 | Buffer: 5958 | 1.05s/ep | Elapsed: 7.3m
Episode 460/5000 | Avg Reward: 11.09 | Avg Length: 6 | Epsilon: 0.398 | Loss: 1.8254 | Buffer: 6018 | 0.50s/ep | Elapsed: 7.4m
Episode 470/5000 | Avg Reward: 14.12 | Avg Length: 7 | Epsilon: 0.390 | Loss: 1.2247 | Buffer: 6092 | 0.63s/ep | Elapsed: 7.5m
Episode 480/5000 | Avg Reward: 18.26 | Avg Length: 10 | Epsilon: 0.383 | Loss: 0.9933 | Buffer: 6189 | 0.54s/ep | Elapsed: 7.6m
Episode 490/5000 | Avg Reward: 20.37 | Avg Length: 10 | Epsilon: 0.375 | Loss: 0.8133 | Buffer: 6292 | 0.87s/ep | Elapsed: 7.7m
Episode 500/5000 | Avg Reward: 21.74 | Avg Length: 11 | Epsilon: 0.368 | Loss: 0.8351 | Buffer: 6400 | 0.92s/ep | Elapsed: 7.9m
Episode 510/5000 | Avg Reward: 26.92 | Avg Length: 15 | Epsilon: 0.360 | Loss: 0.6751 | Buffer: 6549 | 0.98s/ep | Elapsed: 8.0m
Episode 520/5000 | Avg Reward: 37.68 | Avg Length: 19 | Epsilon: 0.353 | Loss: 0.5802 | Buffer: 6738 | 1.60s/ep | Elapsed: 8.3m
Episode 530/5000 | Avg Reward: 18.48 | Avg Length: 10 | Epsilon: 0.346 | Loss: 0.5140 | Buffer: 6833 | 0.82s/ep | Elapsed: 8.4m
Episode 540/5000 | Avg Reward: 14.43 | Avg Length: 8 | Epsilon: 0.339 | Loss: 0.5567 | Buffer: 6913 | 0.39s/ep | Elapsed: 8.5m
Episode 550/5000 | Avg Reward: 16.65 | Avg Length: 8 | Epsilon: 0.333 | Loss: 0.5182 | Buffer: 6996 | 0.71s/ep | Elapsed: 8.6m
Episode 560/5000 | Avg Reward: 22.09 | Avg Length: 11 | Epsilon: 0.326 | Loss: 0.5333 | Buffer: 7106 | 0.94s/ep | Elapsed: 8.8m
Episode 570/5000 | Avg Reward: 23.08 | Avg Length: 12 | Epsilon: 0.319 | Loss: 0.5100 | Buffer: 7230 | 1.05s/ep | Elapsed: 8.9m
