num_actions: 5
observation_space: (4, 240, 64)
Using device: cuda
conv_output_size: 8320
conv_output_size: 8320
Starting training for 3000 episodes...
Observation shape: (4, 240, 64)
Starting at Level 0: {'vehicles_count': 5, 'vehicles_density': 0.5}
Epsilon: 1.0 -> 0.02 (decay: 0.99)
Ep 10/3000 | Lv: 0 (10/200) | Reward: 43.0 | Crash: 50% | Speed: 22.3 | Len: 62 | Eps: 0.904 | Loss: 3.0456 | 1.01s/ep | 10s
Ep 20/3000 | Lv: 0 (20/200) | Reward: 62.8 | Crash: 55% | Speed: 22.9 | Len: 64 | Eps: 0.818 | Loss: 0.3623 | 3.29s/ep | 43s
Ep 30/3000 | Lv: 0 (30/200) | Reward: 28.1 | Crash: 63% | Speed: 23.3 | Len: 46 | Eps: 0.740 | Loss: 0.4170 | 2.33s/ep | 1.1m
Ep 40/3000 | Lv: 0 (40/200) | Reward: 8.9 | Crash: 70% | Speed: 24.1 | Len: 28 | Eps: 0.669 | Loss: 0.8172 | 1.31s/ep | 1.3m
Ep 50/3000 | Lv: 0 (50/200) | Reward: -9.5 | Crash: 76% | Speed: 24.5 | Len: 21 | Eps: 0.605 | Loss: 1.2731 | 1.17s/ep | 1.5m
Ep 60/3000 | Lv: 0 (60/200) | Reward: -1.3 | Crash: 78% | Speed: 24.6 | Len: 29 | Eps: 0.547 | Loss: 1.3594 | 1.34s/ep | 1.7m
Ep 70/3000 | Lv: 0 (70/200) | Reward: 44.5 | Crash: 77% | Speed: 24.5 | Len: 57 | Eps: 0.495 | Loss: 0.9139 | 2.84s/ep | 2.2m
Ep 80/3000 | Lv: 0 (80/200) | Reward: -2.8 | Crash: 80% | Speed: 24.6 | Len: 26 | Eps: 0.448 | Loss: 0.9293 | 1.44s/ep | 2.5m
Ep 90/3000 | Lv: 0 (90/200) | Reward: 31.6 | Crash: 80% | Speed: 24.7 | Len: 41 | Eps: 0.405 | Loss: 1.1251 | 2.01s/ep | 2.8m
Ep 100/3000 | Lv: 0 (100/200) | Reward: 25.0 | Crash: 80% | Speed: 24.8 | Len: 40 | Eps: 0.366 | Loss: 1.1123 | 2.17s/ep | 3.2m
Ep 110/3000 | Lv: 0 (110/200) | Reward: 3.3 | Crash: 84% | Speed: 25.2 | Len: 29 | Eps: 0.331 | Loss: 1.1775 | 1.34s/ep | 3.4m
Ep 120/3000 | Lv: 0 (120/200) | Reward: 3.5 | Crash: 88% | Speed: 25.5 | Len: 28 | Eps: 0.299 | Loss: 1.2318 | 1.57s/ep | 3.6m
Ep 130/3000 | Lv: 0 (130/200) | Reward: 26.4 | Crash: 88% | Speed: 25.6 | Len: 40 | Eps: 0.271 | Loss: 1.3667 | 1.97s/ep | 4.0m
Ep 140/3000 | Lv: 0 (140/200) | Reward: 50.3 | Crash: 86% | Speed: 25.4 | Len: 54 | Eps: 0.245 | Loss: 1.4839 | 2.73s/ep | 4.4m
Ep 150/3000 | Lv: 0 (150/200) | Reward: 46.7 | Crash: 83% | Speed: 25.4 | Len: 44 | Eps: 0.221 | Loss: 1.4173 | 2.23s/ep | 4.8m
Ep 160/3000 | Lv: 0 (160/200) | Reward: 65.3 | Crash: 81% | Speed: 25.4 | Len: 55 | Eps: 0.200 | Loss: 1.3726 | 2.85s/ep | 5.3m
Ep 170/3000 | Lv: 0 (170/200) | Reward: -9.6 | Crash: 84% | Speed: 25.7 | Len: 22 | Eps: 0.181 | Loss: 1.7524 | 1.19s/ep | 5.5m
Ep 180/3000 | Lv: 0 (180/200) | Reward: 7.6 | Crash: 83% | Speed: 25.7 | Len: 30 | Eps: 0.164 | Loss: 1.0776 | 1.43s/ep | 5.7m
Ep 190/3000 | Lv: 0 (190/200) | Reward: 2.4 | Crash: 84% | Speed: 25.8 | Len: 23 | Eps: 0.148 | Loss: 0.8865 | 1.28s/ep | 5.9m
Ep 200/3000 | Lv: 0 (200/200) | Reward: 66.8 | Crash: 83% | Speed: 26.1 | Len: 47 | Eps: 0.134 | Loss: 0.9115 | 2.36s/ep | 6.3m
Ep 210/3000 | Lv: 0 (210/200) | Reward: 99.3 | Crash: 80% | Speed: 26.1 | Len: 68 | Eps: 0.121 | Loss: 0.6751 | 3.52s/ep | 6.9m
Ep 220/3000 | Lv: 0 (220/200) | Reward: 120.0 | Crash: 75% | Speed: 26.2 | Len: 70 | Eps: 0.110 | Loss: 0.4741 | 3.70s/ep | 7.5m
Ep 230/3000 | Lv: 0 (230/200) | Reward: 25.9 | Crash: 76% | Speed: 26.2 | Len: 40 | Eps: 0.099 | Loss: 0.5275 | 2.02s/ep | 7.8m
Ep 240/3000 | Lv: 0 (240/200) | Reward: 155.1 | Crash: 72% | Speed: 26.5 | Len: 80 | Eps: 0.090 | Loss: 0.5734 | 4.22s/ep | 8.6m
Ep 250/3000 | Lv: 0 (250/200) | Reward: 86.8 | Crash: 71% | Speed: 26.5 | Len: 58 | Eps: 0.081 | Loss: 0.5104 | 2.97s/ep | 9.0m
Ep 260/3000 | Lv: 0 (260/200) | Reward: 136.8 | Crash: 68% | Speed: 26.8 | Len: 70 | Eps: 0.073 | Loss: 0.3454 | 3.63s/ep | 9.7m
Ep 270/3000 | Lv: 0 (270/200) | Reward: 159.2 | Crash: 61% | Speed: 27.0 | Len: 80 | Eps: 0.066 | Loss: 0.5146 | 4.04s/ep | 10.3m
Ep 280/3000 | Lv: 0 (280/200) | Reward: 151.9 | Crash: 55% | Speed: 27.1 | Len: 78 | Eps: 0.060 | Loss: 0.4251 | 4.06s/ep | 11.0m
Ep 290/3000 | Lv: 0 (290/200) | Reward: 154.2 | Crash: 49% | Speed: 27.2 | Len: 78 | Eps: 0.054 | Loss: 0.5444 | 4.04s/ep | 11.7m
Ep 300/3000 | Lv: 0 (300/200) | Reward: 137.0 | Crash: 46% | Speed: 27.2 | Len: 75 | Eps: 0.049 | Loss: 0.4397 | 3.70s/ep | 12.3m
Ep 310/3000 | Lv: 0 (310/200) | Reward: 139.6 | Crash: 44% | Speed: 27.3 | Len: 73 | Eps: 0.044 | Loss: 0.3670 | 3.79s/ep | 12.9m
Ep 320/3000 | Lv: 0 (320/200) | Reward: 127.4 | Crash: 43% | Speed: 27.4 | Len: 66 | Eps: 0.040 | Loss: 0.3814 | 3.38s/ep | 13.5m
Ep 330/3000 | Lv: 0 (330/200) | Reward: 148.5 | Crash: 37% | Speed: 27.6 | Len: 74 | Eps: 0.036 | Loss: 0.3698 | 3.86s/ep | 14.1m
Ep 340/3000 | Lv: 0 (340/200) | Reward: 152.4 | Crash: 37% | Speed: 27.6 | Len: 79 | Eps: 0.033 | Loss: 0.3001 | 3.99s/ep | 14.8m
Ep 350/3000 | Lv: 0 (350/200) | Reward: 188.2 | Crash: 33% | Speed: 27.8 | Len: 89 | Eps: 0.030 | Loss: 0.3239 | 4.82s/ep | 15.6m
Ep 360/3000 | Lv: 0 (360/200) | Reward: 146.6 | Crash: 33% | Speed: 27.7 | Len: 76 | Eps: 0.027 | Loss: 0.3107 | 3.82s/ep | 16.2m
Ep 370/3000 | Lv: 0 (370/200) | Reward: 133.0 | Crash: 34% | Speed: 27.9 | Len: 67 | Eps: 0.024 | Loss: 0.3377 | 3.52s/ep | 16.8m
Ep 380/3000 | Lv: 0 (380/200) | Reward: 201.9 | Crash: 32% | Speed: 28.0 | Len: 92 | Eps: 0.022 | Loss: 0.3013 | 4.95s/ep | 17.6m
Ep 390/3000 | Lv: 0 (390/200) | Reward: 161.3 | Crash: 32% | Speed: 28.1 | Len: 76 | Eps: 0.020 | Loss: 0.3466 | 3.87s/ep | 18.3m
Ep 400/3000 | Lv: 0 (400/200) | Reward: 159.3 | Crash: 31% | Speed: 28.3 | Len: 76 | Eps: 0.020 | Loss: 0.3697 | 4.06s/ep | 19.0m
Ep 410/3000 | Lv: 0 (410/200) | Reward: 201.5 | Crash: 28% | Speed: 28.4 | Len: 91 | Eps: 0.020 | Loss: 0.3272 | 4.66s/ep | 19.7m
