/home/lang/SteerNet-v2/.venv/bin/python /home/lang/SteerNet-v2/highway_dqn_grayscale_per_ddqn_NoisyNet_fixed.py
num_actions: 5
observation_space: (4, 240, 64)
Using device: cuda
conv_output_size: 8320
conv_output_size: 8320
Starting training for 5000 episodes...
Using: Double DQN + PER + NoisyNet (no epsilon!)
Observation shape: (4, 240, 64)
Batch size: 256
Ep 10/5000 | Reward: 17.3 | Crash: 70% | Speed: 19.7 | Len: 37 | Loss: 0.0661 | Buffer: 367 | 1.59s/ep | 16s
Ep 20/5000 | Reward: 20.4 | Crash: 85% | Speed: 23.9 | Len: 11 | Loss: 0.0719 | Buffer: 476 | 0.64s/ep | 22s
Ep 30/5000 | Reward: 36.7 | Crash: 90% | Speed: 24.2 | Len: 19 | Loss: 0.0274 | Buffer: 662 | 1.08s/ep | 33s
Ep 40/5000 | Reward: 25.6 | Crash: 92% | Speed: 24.3 | Len: 13 | Loss: 0.0068 | Buffer: 795 | 0.78s/ep | 41s
Ep 50/5000 | Reward: 29.5 | Crash: 94% | Speed: 24.0 | Len: 15 | Loss: 0.0129 | Buffer: 947 | 0.89s/ep | 50s
Ep 60/5000 | Reward: 27.5 | Crash: 95% | Speed: 24.1 | Len: 14 | Loss: 0.0106 | Buffer: 1089 | 0.83s/ep | 58s
Ep 70/5000 | Reward: 20.4 | Crash: 96% | Speed: 23.7 | Len: 11 | Loss: 0.0142 | Buffer: 1197 | 0.64s/ep | 1.1m
Ep 80/5000 | Reward: 22.7 | Crash: 96% | Speed: 23.9 | Len: 12 | Loss: 0.0123 | Buffer: 1316 | 0.71s/ep | 1.2m
Ep 90/5000 | Reward: 36.5 | Crash: 97% | Speed: 24.2 | Len: 18 | Loss: 0.0104 | Buffer: 1501 | 1.10s/ep | 1.4m
Ep 100/5000 | Reward: 22.1 | Crash: 97% | Speed: 23.6 | Len: 12 | Loss: 0.0108 | Buffer: 1617 | 0.69s/ep | 1.5m
Ep 110/5000 | Reward: 26.2 | Crash: 100% | Speed: 24.4 | Len: 14 | Loss: 0.0122 | Buffer: 1753 | 0.78s/ep | 1.6m
Ep 120/5000 | Reward: 23.3 | Crash: 100% | Speed: 24.4 | Len: 12 | Loss: 0.0100 | Buffer: 1875 | 0.70s/ep | 1.7m
Ep 130/5000 | Reward: 57.9 | Crash: 99% | Speed: 23.6 | Len: 37 | Loss: 0.0196 | Buffer: 2245 | 2.17s/ep | 2.1m
Ep 140/5000 | Reward: 21.4 | Crash: 99% | Speed: 24.0 | Len: 12 | Loss: 0.0178 | Buffer: 2363 | 0.68s/ep | 2.2m
Ep 150/5000 | Reward: 62.3 | Crash: 97% | Speed: 23.5 | Len: 40 | Loss: 0.0156 | Buffer: 2761 | 2.33s/ep | 2.6m
Ep 160/5000 | Reward: 31.2 | Crash: 97% | Speed: 24.3 | Len: 17 | Loss: 0.0176 | Buffer: 2928 | 0.97s/ep | 2.8m
Ep 170/5000 | Reward: 69.0 | Crash: 95% | Speed: 23.6 | Len: 38 | Loss: 0.0095 | Buffer: 3313 | 2.23s/ep | 3.1m
Ep 180/5000 | Reward: 43.3 | Crash: 92% | Speed: 21.0 | Len: 43 | Loss: 0.0111 | Buffer: 3744 | 2.52s/ep | 3.6m
Ep 190/5000 | Reward: 44.2 | Crash: 85% | Speed: 16.8 | Len: 73 | Loss: 0.0173 | Buffer: 4478 | 4.26s/ep | 4.3m
Ep 200/5000 | Reward: 35.9 | Crash: 85% | Speed: 23.4 | Len: 20 | Loss: 0.0148 | Buffer: 4681 | 1.19s/ep | 4.5m
Ep 210/5000 | Reward: 35.7 | Crash: 81% | Speed: 19.7 | Len: 49 | Loss: 0.0118 | Buffer: 5172 | 2.87s/ep | 4.9m
Ep 220/5000 | Reward: 49.1 | Crash: 76% | Speed: 18.5 | Len: 62 | Loss: 0.0129 | Buffer: 5788 | 3.65s/ep | 5.6m
Ep 230/5000 | Reward: 54.3 | Crash: 74% | Speed: 22.1 | Len: 43 | Loss: 0.0220 | Buffer: 6215 | 2.56s/ep | 6.0m
Ep 240/5000 | Reward: 76.5 | Crash: 67% | Speed: 18.1 | Len: 75 | Loss: 0.0226 | Buffer: 6969 | 4.41s/ep | 6.7m
Ep 250/5000 | Reward: 55.8 | Crash: 63% | Speed: 17.4 | Len: 68 | Loss: 0.0140 | Buffer: 7645 | 3.97s/ep | 7.4m
Ep 260/5000 | Reward: 81.0 | Crash: 58% | Speed: 21.2 | Len: 60 | Loss: 0.0219 | Buffer: 8241 | 3.51s/ep | 8.0m
Ep 270/5000 | Reward: 92.0 | Crash: 52% | Speed: 17.8 | Len: 87 | Loss: 0.0209 | Buffer: 9115 | 5.19s/ep | 8.8m
Ep 280/5000 | Reward: 59.5 | Crash: 46% | Speed: 14.6 | Len: 91 | Loss: 0.0304 | Buffer: 10021 | 5.38s/ep | 9.7m
Ep 290/5000 | Reward: 71.0 | Crash: 47% | Speed: 19.4 | Len: 66 | Loss: 0.0307 | Buffer: 10685 | 4.02s/ep | 10.4m
Ep 300/5000 | Reward: 80.0 | Crash: 43% | Speed: 21.9 | Len: 55 | Loss: 0.0229 | Buffer: 11234 | 3.37s/ep | 11.0m
Ep 310/5000 | Reward: 53.2 | Crash: 43% | Speed: 20.1 | Len: 50 | Loss: 0.0211 | Buffer: 11731 | 2.97s/ep | 11.4m
Ep 320/5000 | Reward: 85.1 | Crash: 43% | Speed: 20.6 | Len: 64 | Loss: 0.0247 | Buffer: 12373 | 3.83s/ep | 12.1m
Ep 330/5000 | Reward: 72.8 | Crash: 43% | Speed: 23.0 | Len: 41 | Loss: 0.0237 | Buffer: 12781 | 2.46s/ep | 12.5m
Ep 340/5000 | Reward: 53.6 | Crash: 45% | Speed: 19.1 | Len: 60 | Loss: 0.0236 | Buffer: 13376 | 3.53s/ep | 13.1m
Ep 350/5000 | Reward: 93.0 | Crash: 43% | Speed: 17.4 | Len: 85 | Loss: 0.0371 | Buffer: 14229 | 5.12s/ep | 13.9m
Ep 360/5000 | Reward: 105.0 | Crash: 40% | Speed: 19.0 | Len: 84 | Loss: 0.0307 | Buffer: 15070 | 5.01s/ep | 14.8m
Ep 370/5000 | Reward: 88.8 | Crash: 42% | Speed: 19.8 | Len: 70 | Loss: 0.0248 | Buffer: 15774 | 4.24s/ep | 15.5m
Ep 380/5000 | Reward: 77.4 | Crash: 47% | Speed: 21.3 | Len: 53 | Loss: 0.0408 | Buffer: 16307 | 3.14s/ep | 16.0m
Ep 390/5000 | Reward: 79.5 | Crash: 47% | Speed: 19.1 | Len: 68 | Loss: 0.0361 | Buffer: 16988 | 4.01s/ep | 16.7m
Ep 400/5000 | Reward: 141.8 | Crash: 44% | Speed: 23.5 | Len: 75 | Loss: 0.0320 | Buffer: 17741 | 4.47s/ep | 17.4m
Ep 410/5000 | Reward: 99.3 | Crash: 43% | Speed: 22.8 | Len: 58 | Loss: 0.0624 | Buffer: 18319 | 3.54s/ep | 18.0m
Ep 420/5000 | Reward: 106.7 | Crash: 42% | Speed: 22.2 | Len: 67 | Loss: 0.0429 | Buffer: 18986 | 4.03s/ep | 18.7m
Ep 430/5000 | Reward: 83.2 | Crash: 41% | Speed: 22.5 | Len: 50 | Loss: 0.0510 | Buffer: 19486 | 2.96s/ep | 19.2m
Ep 440/5000 | Reward: 66.8 | Crash: 43% | Speed: 21.5 | Len: 49 | Loss: 0.0455 | Buffer: 19974 | 2.89s/ep | 19.7m
Ep 450/5000 | Reward: 127.3 | Crash: 45% | Speed: 22.7 | Len: 74 | Loss: 0.0522 | Buffer: 20711 | 4.38s/ep | 20.4m
Ep 460/5000 | Reward: 39.9 | Crash: 49% | Speed: 20.0 | Len: 47 | Loss: 0.0491 | Buffer: 21183 | 2.81s/ep | 20.9m
Ep 470/5000 | Reward: 86.3 | Crash: 52% | Speed: 23.8 | Len: 47 | Loss: 0.0426 | Buffer: 21649 | 2.77s/ep | 21.3m
Ep 480/5000 | Reward: 114.6 | Crash: 49% | Speed: 21.7 | Len: 74 | Loss: 0.0694 | Buffer: 22387 | 4.38s/ep | 22.0m
Ep 490/5000 | Reward: 77.2 | Crash: 52% | Speed: 23.3 | Len: 45 | Loss: 0.0549 | Buffer: 22835 | 2.66s/ep | 22.5m
Ep 500/5000 | Reward: 84.2 | Crash: 55% | Speed: 22.7 | Len: 54 | Loss: 0.0656 | Buffer: 23379 | 3.25s/ep | 23.0m
Ep 510/5000 | Reward: 103.3 | Crash: 56% | Speed: 23.7 | Len: 54 | Loss: 0.0635 | Buffer: 23921 | 3.25s/ep | 23.6m
Ep 520/5000 | Reward: 74.9 | Crash: 60% | Speed: 22.9 | Len: 46 | Loss: 0.0955 | Buffer: 24381 | 2.75s/ep | 24.0m
Ep 530/5000 | Reward: 82.0 | Crash: 60% | Speed: 21.0 | Len: 60 | Loss: 0.0801 | Buffer: 24977 | 3.57s/ep | 24.6m
Ep 540/5000 | Reward: 102.3 | Crash: 58% | Speed: 20.9 | Len: 71 | Loss: 0.0860 | Buffer: 25690 | 4.27s/ep | 25.3m
Ep 550/5000 | Reward: 104.8 | Crash: 58% | Speed: 21.4 | Len: 70 | Loss: 0.1275 | Buffer: 26395 | 4.21s/ep | 26.0m
Ep 560/5000 | Reward: 107.8 | Crash: 55% | Speed: 21.2 | Len: 75 | Loss: 0.0880 | Buffer: 27143 | 4.53s/ep | 26.8m
Ep 570/5000 | Reward: 88.1 | Crash: 55% | Speed: 23.2 | Len: 51 | Loss: 0.0818 | Buffer: 27655 | 3.09s/ep | 27.3m
